SYMBOL,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
DSAV,07-Jan-2015,566.7,571.72,565.02,571.15,1978500
DSBC,07-Jan-2015,1066.68,1069.42,1058.21,1063.81,37651600
DSBD,07-Jan-2015,588.57,597.57,588.57,597.04,3550500
DSBE,07-Jan-2015,135.47,137.66,134.97,137.16,552900
DSBK,07-Jan-2015,312.62,316.13,312.06,314.25,79867200
DSBM,07-Jan-2015,320.93,324.17,320.93,323.45,28964000
DSBS,07-Jan-2015,163.35,165.24,163.35,164.72,18297000
DSBT,07-Jan-2015,1825.36,1882.55,1825.36,1881.51,19772200
DSBV,07-Jan-2015,573.11,586.55,573.11,585.04,7514100
DSCA,07-Jan-2015,712.97,731.9,712.97,730.88,3865800
DSCC,07-Jan-2015,364.75,368.84,364.57,368.29,5835900
DSCE,07-Jan-2015,794.93,816.36,794.93,815.92,879500
DSCF,07-Jan-2015,347.24,355.88,347.24,355.23,5292700
DSCG,07-Jan-2015,840.55,850.79,840.55,850.64,29619400
DSCH,07-Jan-2015,510.63,515.64,510.59,514.57,10667000
DSCL,07-Jan-2015,86.21,87.46,85.07,86.39,4090600
DSCM,07-Jan-2015,491.39,494.19,489.83,493.5,4410100
DSCN,07-Jan-2015,484.62,491.2,484.62,489.78,5579900
DSCP,07-Jan-2015,305.8,308.32,305.62,306.9,3312100
DSCR,07-Jan-2015,1570.28,1593.6,1570.28,1589.18,20973700
DSCS,07-Jan-2015,1013.84,1020.63,1013.74,1018.6,6308600
DSCT,07-Jan-2015,863.2,871.94,861.95,869.45,19666400
DSCX,07-Jan-2015,801.9,809.06,800.92,806.23,4831000
DSCY,07-Jan-2015,676.07,685.58,676.07,685.56,130401700
DSDB,07-Jan-2015,778.07,804.27,778.07,802.99,292300
DSDN,07-Jan-2015,250.13,253.65,250.13,252.97,2041200
DSDR,07-Jan-2015,655.63,669.35,655.63,669.18,13414700
DSDS,07-Jan-2015,284.72,285.83,280.94,282.18,1413900
DSDT,07-Jan-2015,101.14,102.2,101.04,102.16,1306400
DSDV,07-Jan-2015,124.88,125.2,124.18,125.04,4049200
DSEC,07-Jan-2015,255.21,259.19,255.21,259.14,2133300
DSEE,07-Jan-2015,272.85,275.58,272.85,274.78,7083500
DSEH,07-Jan-2015,85.91,86.86,85.35,86.32,480600
DSEN,07-Jan-2015,634.38,644.51,631.7,635.91,84079100
DSES,07-Jan-2015,164.86,166.91,164.58,166.84,688900
DSEU,07-Jan-2015,223.82,226.73,223.3,225.93,16746100
DSFA,07-Jan-2015,258.86,261.67,258.7,261.65,4790000
DSFB,07-Jan-2015,491.85,503.26,491.85,502.25,21413800
DSFC,07-Jan-2015,164.21,164.26,160.9,161.98,15855200
DSFD,07-Jan-2015,308.4,313.38,307.97,313.35,4993300
DSFE,07-Jan-2015,406.51,410.05,406.51,408.58,4828000
DSFH,07-Jan-2015,326.35,332.45,326.35,331.28,568000
DSFI,07-Jan-2015,658.53,667.48,658.53,667.45,29774400
DSFN,07-Jan-2015,435.33,440.23,435.33,439.8,169767700
DSFO,07-Jan-2015,323.43,331.31,323.43,330.79,13899600
DSFP,07-Jan-2015,448.05,458.42,448.05,457.7,13899600
DSFR,07-Jan-2015,202.96,203.58,201.84,202.96,1027300
DSFT,07-Jan-2015,890.85,912.69,890.85,909.56,1911800
DSFV,07-Jan-2015,433.59,438.6,433.59,437.56,0
DSGF,07-Jan-2015,737.97,748.27,737.97,748.24,29774400
DSGI,07-Jan-2015,424.35,428.91,424.35,425.85,16408300
DSGT,07-Jan-2015,704.16,720.21,704.16,720.18,45886900
DSGU,07-Jan-2015,208.82,211,208.18,210.86,1908600
DSHB,07-Jan-2015,513.3,540.54,513.3,534.6,5323200
DSHC,07-Jan-2015,722.51,738.44,722.51,738.35,64345500
DSHD,07-Jan-2015,258.95,262.89,258.95,261.97,1652800
DSHG,07-Jan-2015,568.4,576.15,568.4,574.51,9720100
DSHI,07-Jan-2015,227.98,235.47,227.98,235.45,3125700
DSHL,07-Jan-2015,139.83,141.42,139.21,141.15,4121800
DSHN,07-Jan-2015,697.94,704.33,697.94,702.36,2176000
DSHP,07-Jan-2015,1119.78,1139.32,1119.78,1136.39,8308800
DSHR,07-Jan-2015,1380.62,1391.45,1373.31,1388.33,7367000
DSHV,07-Jan-2015,395.03,400.27,393.16,394.61,2029400
DSIB,07-Jan-2015,207.92,210.76,207.92,210.55,926400
DSID,07-Jan-2015,480.46,486.11,480.46,482.15,13096200
DSIF,07-Jan-2015,45.2,45.5,45.1,45.38,2329000
DSIG,07-Jan-2015,534.51,539.65,534.51,538.16,60991000
DSIL,07-Jan-2015,642.31,652.55,642.31,646.48,6080700
DSIM,07-Jan-2015,212.31,215.54,212.31,215.22,10740400
DSIN,07-Jan-2015,498.32,503.22,498.32,501.83,66570900
DSIO,07-Jan-2015,91.2,92.38,90.97,92.34,7493000
DSIP,07-Jan-2015,539.15,545.64,539.15,545.44,6244600
DSIQ,07-Jan-2015,1280.61,1290.93,1278.56,1287.43,12195000
DSIR,07-Jan-2015,444.6,449.52,444.6,449.21,18023200
DSIS,07-Jan-2015,315.57,318.31,315.57,318.3,12600200
DSIT,07-Jan-2015,795.02,803.77,795.02,799.77,6833000
DSIU,07-Jan-2015,184.55,187.09,184.55,186.98,2442300
DSIV,07-Jan-2015,357.5,362.18,357.5,362.13,4269800
DSIX,07-Jan-2015,404.98,409.79,404.98,409.6,11942400
DSLE,07-Jan-2015,365.41,369.95,364.82,369.88,8500200
DSLG,07-Jan-2015,1171.13,1191.32,1171.13,1190.9,1787100
