Symbol,Date,Open,High,Low,Close,Volume
SACT,06-Jan-2015,113.16,114.27,112.13,112.74,0
SAEI,06-Jan-2015,1269.73,1276.95,1263.77,1267.38,0
SAER,06-Jan-2015,101.73,103.65,101.55,103.03,0
SAEU,06-Jan-2015,1270.38,1274.54,1264.53,1266.1,0
SAIE,06-Jan-2015,241.97,246.13,240.94,244.72,0
SAIU,06-Jan-2015,222.74,225.68,220.46,224.26,0
SAJR,06-Jan-2015,126.56,126.56,124.74,125.18,0
SAJT,06-Jan-2015,107.08,107.08,105.58,105.96,0
SANA,06-Jan-2015,4082.97,4114.9,4049.6,4073.02,0
SANC,06-Jan-2015,3502.88,3529.37,3483.63,3497.61,0
SAPE,06-Jan-2015,3508.24,3508.24,3440.17,3460.34,0
SAPT,06-Jan-2015,92.52,93.17,92.48,92.93,0
SAPU,06-Jan-2015,2855.55,2855.55,2796.58,2820.94,0
SAQA,06-Jan-2015,3073.48,3078.31,3041.48,3047.93,0
SAQE,06-Jan-2015,2278.68,2289.41,2253.73,2263.79,0
SASE,06-Jan-2015,18.89,19.06,18.43,18.67,0
SAUE,06-Jan-2015,150.83,153.72,150.56,152.76,0
SAWP,06-Jan-2015,61.88,63.11,61.31,62.79,0
SAWT,06-Jan-2015,64.33,65.62,63.74,65.28,0
SBAI,06-Jan-2015,89.63,91.94,89.63,91.38,0
SBER,06-Jan-2015,71.87,73.53,71.72,72.98,0
SBES,06-Jan-2015,1085.83,1085.83,1073.57,1079.69,0
SBIX,06-Jan-2015,229.89,230.04,222.44,223.63,0
SBNP,06-Jan-2015,1680.89,1693.99,1663.22,1670.7,0
SBRX,06-Jan-2015,136.77,136.94,135.31,136.47,0
SBSE,06-Jan-2015,1540.16,1550.82,1528.74,1544.34,0
SBSU,06-Jan-2015,1381.54,1386.03,1373.28,1382.85,0
SBTR,06-Jan-2015,75.14,76.8,74.98,76.3,0
SBUP,06-Jan-2015,3961.45,3987.34,3921.13,3937.16,0
SCBR,06-Jan-2015,30.13,30.38,29.21,30.28,0
SCEI,06-Jan-2015,878.35,878.35,870.72,873.39,0
SCGD,06-Jan-2015,469.4,476.48,466.27,470.36,0
SCGO,06-Jan-2015,179.42,179.51,176.86,176.88,0
SCGT,06-Jan-2015,2044.32,2045.89,2024.58,2035.85,0
SCII,06-Jan-2015,71.19,71.4,70.06,70.65,0
SCIR,06-Jan-2015,233.54,234.89,232.78,233.62,0
SCIS,06-Jan-2015,203.9,205.08,203.24,203.98,0
SCIT,06-Jan-2015,398.58,400.88,397.21,398.72,0
SCPC,06-Jan-2015,2308.31,2308.31,2247.95,2249.61,0
SCPX,06-Jan-2015,536.11,544.17,532.53,537.2,0
SCRC,06-Jan-2015,3191.53,3196.3,3147.53,3175.06,0
SCRE,06-Jan-2015,4189.21,4191.06,4119.57,4146.6,0
SCSC,06-Jan-2015,3077.51,3117,3032.46,3079.18,0
SCSE,06-Jan-2015,2790.49,2834.61,2726.8,2769,0
SCSR,06-Jan-2015,642.29,642.32,637.05,639,0
SCUT,06-Jan-2015,1927.46,1927.46,1875.68,1921.22,0
SCWI,06-Jan-2015,150.68,152.82,150.34,152.82,0
SCWP,06-Jan-2015,289.73,289.73,287.71,288.41,0
SCYE,06-Jan-2015,111.76,111.86,111.76,111.84,0
SCYI,06-Jan-2015,127.43,127.54,127.43,127.51,0
SDCG,06-Jan-2015,677.58,678.84,665.37,669.46,0
SDCV,06-Jan-2015,681.27,683.26,670.47,672.72,0
SDDE,06-Jan-2015,477.63,481.45,473.01,474.88,0
SDDM,06-Jan-2015,101.16,101.25,99.58,99.82,0
SDDV,06-Jan-2015,140.81,141.58,139.25,139.94,0
SDEM,06-Jan-2015,89.16,89.19,88.6,89.17,0
SDEW,06-Jan-2015,1160.12,1161.98,1139.23,1145.02,0
SDGO,06-Jan-2015,573.87,576.1,564.59,567.89,0
SDIP,06-Jan-2015,137.84,139.2,137.7,138.92,0
SDIS,06-Jan-2015,179.15,180.94,178.96,180.56,0
SDIT,06-Jan-2015,161.63,163.23,161.47,162.9,0
SDLC,06-Jan-2015,599.13,602.2,590.71,593.44,0
SDMC,06-Jan-2015,811.93,813.2,796.9,800.67,0
SDPI,06-Jan-2015,1330.35,1331.39,1315.59,1317.57,0
SDSC,06-Jan-2015,820.5,821.99,800.66,806.27,0
SDTI,06-Jan-2015,1459.4,1460.63,1443.3,1445.47,0
SDTR,06-Jan-2015,977.9,990.98,976.13,978.28,0
SDTS,06-Jan-2015,1134.61,1137.79,1132.87,1133.57,0
SDTT,06-Jan-2015,1317.78,1321.47,1315.76,1316.57,0
SDVO,06-Jan-2015,557.39,561.21,550.88,552.75,0
SDWI,06-Jan-2015,110.35,111.46,109.72,109.85,0
SEAN,06-Jan-2015,705.57,705.57,696.44,698.98,0
SEBI,06-Jan-2015,2312.25,2312.68,2294.73,2305.29,0
SECA,06-Jan-2015,236.31,237.02,231.33,232.38,0
SECB,06-Jan-2015,277.72,278.59,271.83,273.04,0
SECC,06-Jan-2015,474.25,475.42,463.89,465.94,0
SEIB,06-Jan-2015,2633.81,2636.14,2610.57,2628.85,0
SEIE,06-Jan-2015,169.77,170.65,168.23,169.17,0
SEII,06-Jan-2015,656.26,656.26,650.56,652.55,0
SEIT,06-Jan-2015,145.63,146.76,144.69,146.36,0
SEIU,06-Jan-2015,172.09,172.64,170.71,171.26,0
SEMT,06-Jan-2015,1044.79,1047.47,1038.3,1046.22,0
SENSEX,06-Jan-2015,27694.23,27698.93,26937.06,26987.461,0
SFTR,06-Jan-2015,1167.32,1182.23,1156.56,1164.91,0
SG0A,06-Jan-2015,315.49,318.4,315.21,316.6,0
SG0B,06-Jan-2015,100.31,101.23,100.22,100.66,0
SG0C,06-Jan-2015,1035.66,1045.06,1034.72,1039.3,0
SG0D,06-Jan-2015,52.9,53.69,52.83,53.37,0
SG0E,06-Jan-2015,546.25,554.36,545.5,551.06,0
SG0F,06-Jan-2015,578.9,579.57,570.54,576.47,0
SG0G,06-Jan-2015,455.72,456.82,449.7,454.37,0
SG0H,06-Jan-2015,4711.11,4717.04,4643.58,4691.82,0
SG0I,06-Jan-2015,289.73,291.71,275.6,278.14,0
SG1A,06-Jan-2015,989.73,993.6,938.81,947.39,0
SG1B,06-Jan-2015,395.13,405.07,393.74,397.39,0
SG1C,06-Jan-2015,16.28,16.69,16.22,16.37,0
SG1D,06-Jan-2015,168.19,172.43,167.6,169.16,0
SG1E,06-Jan-2015,114.52,114.98,112.39,112.49,0
SG1F,06-Jan-2015,28,28.11,27.48,27.5,0
SG1G,06-Jan-2015,56.44,56.66,55.39,55.43,0
SG1H,06-Jan-2015,161.04,161.63,159.87,161.04,0
